Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
12629,Yes,Yes,United States,No,Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",500 to 999 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Engineering manager;Front-end developer;Full-stack developer;Product manager;System administrator,9-11 years,9-11 years,Moderately dissatisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,I am actively looking for a job,More than 4 years ago,6.0,2.0,4.0,1.0,5.0,3.0,9.0,8.0,10.0,7.0,4.0,2.0,9.0,10.0,7.0,5.0,8.0,3.0,11.0,6.0,1.0,4.0,1.0,5.0,3.0,2.0,2.0,6.0,1.0,3.0,7.0,4.0,5.0,I received bad news about the future of my company or department,U.S. dollars ($),79000.0,Yearly,79000.0,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Nine months to a year,"Taken an online course in programming or software development (e.g. a MOOC);Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",,Because I find it enjoyable,Strongly agree,Agree,Disagree,JavaScript;Python;R;Ruby;Scala;SQL;HTML;CSS;Bash/Shell,C++;Erlang;Go;Groovy;Java;JavaScript;Python;R;Ruby;Scala;SQL;HTML;CSS;Bash/Shell,"MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;MariaDB;Apache Hive;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",MongoDB;Redis;PostgreSQL;SQLite;MariaDB;Apache HBase;Apache Hive;Neo4j;Elasticsearch,Arduino;AWS;Azure;ESP8266;Linux;Mac OS;Raspberry Pi;SharePoint;Windows Desktop or Server;WordPress,Arduino;AWS;ESP8266;Linux;Raspberry Pi;Serverless,Angular;Hadoop;Node.js;React;Spark,Angular;Django;Hadoop;Node.js;React;Spark;TensorFlow;Torch/PyTorch,IPython / Jupyter;Notepad++;RStudio;Vim,Windows,2,Agile;Kanban;Pair programming;Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Stopped going to a website because of their advertising;Paid to access a website advertisement-free,6.0,3.0,4.0,5.0,2.0,7.0,1.0,Algorithms making important decisions,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",The developer who wrote it,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",7,I'm not sure,A little bit interested,Not at all interested,Not at all interested,Somewhat interested,Somewhat interested,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,,I don't typically exercise,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,35 - 44 years old,No,Yes,The survey was too long,Very easy
12687,Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)","5,000 to 9,999 employees",Data or business analyst;Data scientist or machine learning specialist,0-2 years,0-2 years,Moderately satisfied,Moderately satisfied,Working in a career completely unrelated to software development,I am not interested in new job opportunities,Less than a year ago,8.0,10.0,3.0,7.0,4.0,1.0,5.0,6.0,2.0,9.0,2.0,8.0,1.0,6.0,9.0,3.0,10.0,11.0,4.0,7.0,5.0,,,,,,,,,,,,,I had a negative experience or interaction at work,U.S. dollars ($),85000.0,,85000.0,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",,,Disagree,Disagree,Disagree,R;SQL;HTML,Python;R,,,WordPress,,,,Notepad++;RStudio,Windows,2,Lean,I don't use version control,,I'm not sure/I don't know,,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad),1.0,5.0,3.0,6.0,2.0,7.0,4.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",,Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",The developer who wrote it,Yes,8,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Yes,Yes,5,No,Very interested,A little bit interested,Somewhat interested,Very interested,Somewhat interested,Between 6:01 - 7:00 AM,5 - 8 hours,30 - 59 minutes,Never,Ergonomic keyboard or mouse,1 - 2 times per week,Female,Gay or Lesbian,"Other doctoral degree (Ph.D, Ed.D., etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Somewhat easy
12720,No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Data scientist or machine learning specialist,3-5 years,0-2 years,Slightly satisfied,Slightly satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,7.0,6.0,5.0,4.0,1.0,2.0,10.0,3.0,9.0,8.0,1.0,2.0,4.0,10.0,6.0,3.0,5.0,7.0,11.0,9.0,8.0,5.0,1.0,4.0,3.0,2.0,5.0,2.0,1.0,4.0,3.0,7.0,6.0,A recruiter contacted me,U.S. dollars ($),74000.0,,74000.0,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","Questions & answers on Stack Overflow;Pre-scheduled tutoring or mentoring sessions with a friend or colleague;Tapping your network of friends, family, and peers versed in the technology",,,Agree,Disagree,Agree,C++;Matlab;Python;HTML;CSS;Bash/Shell,C++;Matlab;Python,,,,,TensorFlow,TensorFlow,IPython / Jupyter;Notepad++;Sublime Text;Vim,Linux-based,2,,Git,Weekly or a few times per month,Yes,Yes,I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat agree,Somewhat disagree,Clicked on an online advertisement,1.0,2.0,3.0,4.0,6.0,7.0,5.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions","Artificial intelligence surpassing human intelligence (""the singularity"")",,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",1,Yes,A little bit interested,A little bit interested,Somewhat interested,Very interested,Somewhat interested,Between 9:01 - 10:00 AM,Over 12 hours,Less than 30 minutes,Never,Ergonomic keyboard or mouse,3 - 4 times per week,Female,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,18 - 24 years old,No,No,The survey was too long,Somewhat easy
12824,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist,6-8 years,3-5 years,Extremely satisfied,Moderately satisfied,Doing the same work,I am not interested in new job opportunities,Less than a year ago,7.0,10.0,6.0,3.0,9.0,1.0,8.0,5.0,2.0,4.0,2.0,3.0,9.0,10.0,4.0,7.0,11.0,5.0,8.0,6.0,1.0,,,,,,,,,,,,,A friend told me about a job opportunity,U.S. dollars ($),90000.0,,90000.0,USD,"Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",,To improve my general technical skills or programming ability;Because I find it enjoyable,Neither Agree nor Disagree,Strongly disagree,Neither Agree nor Disagree,Go;JavaScript;R;HTML;CSS;Bash/Shell,Go;R;Bash/Shell,MongoDB;PostgreSQL,"PostgreSQL;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc)",,,Node.js;React;TensorFlow,Node.js;React;Spark;TensorFlow,Atom;RStudio,MacOS,2,,Git,Multiple times per day,Yes,Yes,The ad-blocking software was causing display issues on a website,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Stopped going to a website because of their advertising,1.0,3.0,4.0,2.0,5.0,6.0,7.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,Prominent industry leaders,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per week,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,I'm not sure,A little bit interested,A little bit interested,A little bit interested,Somewhat interested,A little bit interested,Between 5:00 - 6:00 AM,5 - 8 hours,30 - 59 minutes,3 - 4 times per week,Ergonomic keyboard or mouse,3 - 4 times per week,Female,Straight or heterosexual,"Professional degree (JD, MD, etc.)",White or of European descent,25 - 34 years old,No,No,The survey was too long,Somewhat easy
12835,Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)","10,000 or more employees",Data scientist or machine learning specialist,3-5 years,3-5 years,Moderately satisfied,Moderately satisfied,Working as an engineering manager or other functional manager,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,10.0,6.0,1.0,4.0,3.0,2.0,9.0,5.0,8.0,7.0,1.0,6.0,2.0,4.0,5.0,3.0,7.0,9.0,11.0,8.0,10.0,3.0,2.0,5.0,1.0,4.0,7.0,2.0,1.0,3.0,4.0,6.0,5.0,A recruiter contacted me,U.S. dollars ($),110000.0,Yearly,110000.0,USD,"Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology",,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To build my professional network;Because I find it enjoyable",Strongly agree,Agree,Disagree,Python;R,Java;Python;R;Scala,SQL Server;MySQL;PostgreSQL;Google BigQuery,MongoDB;Amazon DynamoDB;Apache Hive;Amazon Redshift;Elasticsearch,,Raspberry Pi,TensorFlow,Django;Hadoop;Spark;TensorFlow;Torch/PyTorch,IntelliJ;IPython / Jupyter;Notepad++;PyCharm;RStudio;Vim,Windows,2,Agile;Scrum,Git,Once a day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Strongly agree,Neither agree nor disagree,Somewhat disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,1.0,6.0,3.0,2.0,4.0,7.0,5.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions","Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The developer who wrote it,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per week,Yes,"No, I know what it is but I don't have one",4,Yes,Very interested,Somewhat interested,Somewhat interested,Very interested,Very interested,Between 6:01 - 7:00 AM,5 - 8 hours,30 - 59 minutes,1 - 2 times per week,,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,Yes,No,The survey was too long,Very easy
13090,Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Front-end developer;Full-stack developer,3-5 years,3-5 years,Extremely satisfied,Extremely satisfied,Working as an engineering manager or other functional manager,I am not interested in new job opportunities,Between 2 and 4 years ago,8.0,9.0,3.0,1.0,6.0,5.0,4.0,2.0,10.0,7.0,1.0,7.0,3.0,9.0,5.0,2.0,6.0,8.0,11.0,10.0,4.0,,,,,,,,,,,,,My job status or other personal status changed,U.S. dollars ($),90000.0,,90000.0,USD,Slack,One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",Agree,Neither Agree nor Disagree,Strongly disagree,C#;JavaScript;SQL;TypeScript;HTML;CSS,C#;JavaScript;SQL;TypeScript;HTML;CSS,"Redis;SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",SQL Server,,,Angular,TensorFlow,Visual Studio,Windows,3,Agile;Extreme programming (XP);Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Paid to access a website advertisement-free,2.0,5.0,3.0,6.0,4.0,7.0,1.0,Algorithms making important decisions,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,Daily or almost daily,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,Yes,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Between 5:00 - 6:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,Ergonomic keyboard or mouse,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,35 - 44 years old,No,No,The survey was too long,Very easy
13137,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;QA or test developer,3-5 years,0-2 years,Moderately dissatisfied,Neither satisfied nor dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,2.0,8.0,4.0,6.0,3.0,1.0,5.0,7.0,10.0,9.0,1.0,9.0,2.0,6.0,7.0,5.0,8.0,3.0,11.0,10.0,4.0,2.0,1.0,3.0,4.0,5.0,5.0,2.0,7.0,4.0,3.0,1.0,6.0,My job status or other personal status changed,U.S. dollars ($),55000.0,Yearly,55000.0,USD,"Confluence;HipChat;Office / productivity suite (Microsoft Office, Google Suite, etc.)",,"Taken an online course in programming or software development (e.g. a MOOC);Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology",,,Neither Agree nor Disagree,Agree,Disagree,Java;JavaScript;Python;SQL;HTML,C++;C#;JavaScript;Python;SQL;HTML,SQL Server;MySQL,SQL Server;MySQL;Oracle;Amazon DynamoDB;Amazon Redshift;Amazon RDS/Aurora,Mainframe;Windows Desktop or Server,Windows Desktop or Server,.NET Core;Node.js,.NET Core;Node.js,Eclipse;IPython / Jupyter;Notepad++,Windows,3,Agile;Scrum,Git;Copying and pasting files to network shares,Less than once per month,Yes,Yes,The website I was visiting forced me to disable it to access their content,Strongly disagree,Somewhat agree,Strongly agree,,1.0,3.0,5.0,6.0,2.0,7.0,4.0,,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,,Yes,10 (Very Likely),A few times per week,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure,A little bit interested,A little bit interested,Not at all interested,Extremely interested,Somewhat interested,Between 8:01 - 9:00 AM,9 - 12 hours,Less than 30 minutes,Never,,I don't typically exercise,Male,,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,18 - 24 years old,No,No,The survey was an appropriate length,Somewhat easy
13143,Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,100 to 499 employees,Back-end developer;Data scientist or machine learning specialist,6-8 years,6-8 years,Extremely satisfied,Moderately satisfied,Working as an engineering manager or other functional manager,I am not interested in new job opportunities,Less than a year ago,6.0,7.0,2.0,1.0,3.0,4.0,10.0,5.0,8.0,9.0,2.0,4.0,8.0,6.0,1.0,10.0,9.0,3.0,7.0,5.0,11.0,,,,,,,,,,,,,A recruiter contacted me,U.S. dollars ($),110000.0,,110000.0,USD,"Confluence;Google Hangouts/Chat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack",Less than a month,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",,"To improve my knowledge of a specific programming language, framework, or other technology",Agree,Disagree,Disagree,C++;Haskell;Python;R;Scala;SQL;Bash/Shell,C++;Erlang;Go;Haskell;Python;Bash/Shell,"MongoDB;MySQL;PostgreSQL;Apache Hive;Microsoft Azure (Tables, CosmosDB, SQL, etc)",PostgreSQL,AWS;Linux;Mac OS,AWS;Google Cloud Platform/App Engine;Linux;Mac OS,Hadoop;Spark;TensorFlow,TensorFlow,Atom;IntelliJ;IPython / Jupyter;Sublime Text;Vim,Linux-based,2,Agile;Scrum,Git,Multiple times per day,I'm not sure/I don't know,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad),3.0,4.0,1.0,7.0,2.0,6.0,5.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions","Artificial intelligence surpassing human intelligence (""the singularity"")",A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per week,Yes,Yes,8,Yes,Somewhat interested,Not at all interested,Not at all interested,Somewhat interested,Somewhat interested,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,Never,Standing desk,Daily or almost every day,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Hispanic or Latino/Latina,35 - 44 years old,No,No,The survey was too long,Somewhat easy
13388,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer,3-5 years,0-2 years,Extremely satisfied,Extremely satisfied,Working as an engineering manager or other functional manager,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,9.0,3.0,6.0,7.0,1.0,5.0,4.0,2.0,10.0,8.0,1.0,4.0,3.0,6.0,9.0,2.0,10.0,8.0,7.0,11.0,5.0,2.0,1.0,5.0,3.0,4.0,4.0,6.0,2.0,5.0,3.0,1.0,7.0,My job status or other personal status changed,U.S. dollars ($),50000.0,,50000.0,USD,Facebook,One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly disagree,C++;JavaScript;Julia;Python;Scala;Swift;HTML;CSS,JavaScript;Python;Swift;HTML;CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 (Very Likely),Multiple times per day,Yes,Multiple times per day,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",Yes,,Yes,Not at all interested,Not at all interested,Not at all interested,Extremely interested,Extremely interested,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,Never,,1 - 2 times per week,,,,,,,,,
13397,Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,500 to 999 employees,Data scientist or machine learning specialist,12-14 years,9-11 years,Moderately satisfied,Moderately satisfied,Doing the same work,I am actively looking for a job,Between 2 and 4 years ago,5.0,1.0,9.0,6.0,3.0,8.0,2.0,4.0,7.0,10.0,1.0,7.0,2.0,6.0,8.0,3.0,11.0,4.0,9.0,10.0,5.0,3.0,1.0,2.0,4.0,5.0,2.0,7.0,1.0,3.0,4.0,5.0,6.0,I saw an employer’s advertisement,U.S. dollars ($),100000.0,Yearly,100000.0,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",,,Agree,Disagree,Disagree,R;SQL;HTML;CSS,C#;Julia;Python;R;SQL;HTML;CSS,SQL Server,SQL Server;MySQL,Windows Desktop or Server,Windows Desktop or Server,,,RStudio;Visual Studio,Windows,2,,Git;Team Foundation Version Control,Multiple times per day,Yes,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Stopped going to a website because of their advertising,1.0,5.0,6.0,4.0,3.0,7.0,2.0,Increasing automation of jobs,"Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per week,Yes,"No, I know what it is but I don't have one",8,Yes,Not at all interested,A little bit interested,A little bit interested,Very interested,Very interested,Between 5:00 - 6:00 AM,5 - 8 hours,30 - 59 minutes,Never,Ergonomic keyboard or mouse;Wrist/hand supports or braces,3 - 4 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,35 - 44 years old,Yes,No,The survey was an appropriate length,Somewhat easy
13572,Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;DevOps specialist;QA or test developer;System administrator,9-11 years,9-11 years,Extremely satisfied,Moderately satisfied,Doing the same work,I am not interested in new job opportunities,Between 1 and 2 years ago,6.0,4.0,7.0,9.0,1.0,3.0,2.0,8.0,5.0,10.0,1.0,3.0,4.0,6.0,8.0,2.0,7.0,5.0,10.0,11.0,9.0,,,,,,,,,,,,,My job status or other personal status changed,U.S. dollars ($),145000.0,Yearly,145000.0,USD,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Three to six months,"Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",Disagree,Strongly disagree,Neither Agree nor Disagree,C#;Python;R;SQL;HTML,C#;Go;JavaScript;Python;SQL,SQL Server;Amazon DynamoDB,"SQL Server;Amazon DynamoDB;Microsoft Azure (Tables, CosmosDB, SQL, etc)",AWS,AWS;Azure,TensorFlow,TensorFlow,Atom;NetBeans;Notepad++;Visual Studio,Windows,2,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Pair programming;Scrum,Git,Multiple times per day,No,,,Somewhat agree,Strongly agree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,2.0,1.0,3.0,4.0,5.0,7.0,6.0,"Artificial intelligence surpassing human intelligence (""the singularity"")","Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,No,Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,Yes,Yes,10 (Very Likely),No,Not at all interested,A little bit interested,Not at all interested,Somewhat interested,Very interested,Between 7:01 - 8:00 AM,9 - 12 hours,Less than 30 minutes,Never,,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Very easy
