rank,title,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid
58,Covet Fashion - Dress Up Game,748407,10.0 M,4.02,0.2,0.5,0.0,GAME CASUAL,413732,146967,64962,33766,88977,False
15,Words with Friends: Play Fun Word Puzzle Games,736199,10.0 M,4.16,0.0,0.1,0.0,GAME WORD,448237,128193,57079,32651,70036,False
33,One More Line,149646,5.0 M,4.01,0.0,0.0,0.0,GAME MUSIC,85791,23965,13835,7282,18770,False
56,Slot Machines - Free Vegas Slots Casino,196421,5.0 M,4.63,0.6,1.1,0.0,GAME CASINO,168530,8722,4938,2379,11849,False
77,Paradise Island 2: Hotel Game,563579,5.0 M,4.52,0.5,1.0,0.0,GAME CASUAL,393198,118361,23060,7866,21091,False
72,WordWhizzle Search,172253,1.0 M,4.6,0.0,0.0,0.0,GAME WORD,123845,34556,10023,1698,2128,False
54,WildCraft: Animal Sim Online 3D,681764,50.0 M,4.46,3.7,9.0,0.0,GAME SIMULATION,525194,61806,27709,14709,52343,False
63,Hello Stars,570689,50.0 M,4.32,0.0,0.0,0.0,GAME PUZZLE,420682,43023,30836,18829,57317,False
46,Hidden Hotel: Miami Mystery,389233,10.0 M,4.25,0.7,1.5,0.0,GAME ADVENTURE,255521,57215,27828,14099,34568,False
19,Sand Balls - Puzzle Game,1377821,100.0 M,4.2,0.8,1.8,0.0,GAME PUZZLE,931644,146807,90978,54092,154298,False
20,Ludo Star 2,566405,10.0 M,4.27,2.2,4.7,0.0,GAME BOARD,410189,45241,30537,16583,63853,False
62,School Girls Simulator,620412,10.0 M,4.38,1.7,3.9,0.0,GAME SIMULATION,463465,57940,27201,15573,56231,False
36,"100 PICS Quiz - Guess Trivia, Logo & Picture Games",148570,10.0 M,4.28,0.0,0.1,0.0,GAME TRIVIA,98350,22682,10187,4814,12534,False
43,Helix Crush,112497,10.0 M,4.13,1.1,2.6,0.0,GAME MUSIC,75413,10457,6898,4794,14933,False
45,Jigty Jigsaw Puzzles,721115,10.0 M,4.64,0.0,0.0,0.0,GAME PUZZLE,601000,52795,26861,8913,31543,False
60,パズル＆ドラゴンズ(Puzzle & Dragons),592951,10.0 M,3.88,0.2,0.4,0.0,GAME PUZZLE,333244,78647,55840,26658,98560,False
47,Вращайте барабан,111089,10.0 M,4.53,3.1,6.9,0.0,GAME TRIVIA,85772,12144,5125,2233,5813,False
93,Restaurant Story™,461259,10.0 M,4.26,0.0,0.0,0.0,GAME CASUAL,305532,62585,38610,15910,38620,False
13,LEGO® DUPLO® Train,185203,10.0 M,4.24,0.0,0.0,0.0,GAME EDUCATIONAL,129717,16472,12731,5767,20513,False
30,Beggar Life - Clicker adventure,545364,5.0 M,4.22,0.1,0.2,0.0,GAME ADVENTURE,370907,60083,36938,18369,59064,False
3,Criminal Case,4262608,100.0 M,4.5,0.1,0.3,0.0,GAME ADVENTURE,3262514,444508,216484,91657,247443,False
86,Island Experiment,497474,10.0 M,4.02,0.0,0.0,0.0,GAME CASUAL,220936,146987,82298,15011,32240,False
4,Real Racing 3,6618421,100.0 M,4.32,0.3,0.6,0.0,GAME RACING,4705375,785431,316180,163679,647754,False
14,Solitaire,497732,50.0 M,4.65,1.1,2.6,0.0,GAME CARD,408570,47577,16761,6353,18469,False
74,Blackjack 21,137620,1.0 M,4.21,0.0,0.0,0.0,GAME CASINO,93065,17190,6716,3857,16790,False
97,Castle Clash: Batalha de Guildas,279542,1.0 M,4.35,0.1,0.2,0.0,GAME STRATEGY,207820,23527,14715,5844,27633,False
56,Beauty Hair Salon: Fashion SPA,75574,10.0 M,3.88,0.0,0.1,0.0,GAME EDUCATIONAL,45294,6858,6029,3703,13687,False
54,Quiz Of Kings,100739,1.0 M,4.47,4.8,10.5,0.0,GAME TRIVIA,79501,7674,3454,1707,8400,False
94,Racing Limits,290316,50.0 M,4.28,1.4,3.3,0.0,GAME RACING,207040,27639,15989,9117,30529,False
25,Modern Combat 5: eSports FPS,3480214,100.0 M,4.22,0.5,1.3,0.0,GAME ACTION,2358135,414862,216256,104141,386816,False
78,Total Conquest,344755,10.0 M,3.83,0.3,0.7,0.0,GAME STRATEGY,205463,30317,24519,15053,69400,False
59,Piano - Play & Learn Music,83998,10.0 M,3.87,2.2,4.8,0.0,GAME MUSIC,51746,6528,5222,3986,16514,False
75,Spider Solitaire,123361,10.0 M,4.6,1.2,2.6,0.0,GAME CARD,92957,20349,4987,1306,3760,False
65,Block! Hexa Puzzle™,546256,50.0 M,3.93,0.1,0.3,0.0,GAME PUZZLE,299841,90904,48993,28856,77659,False
66,Super Bino Go - New Adventure Game,272066,50.0 M,4.1,2558.2,12.7,0.0,GAME ADVENTURE,181050,24590,17104,10342,38978,False
86,Truth or Dare — Dirty Party Game for Adults 18+,103890,5.0 M,4.05,0.5,0.9,0.0,GAME BOARD,63403,13852,8674,4367,13592,False
40,Flip Diving,875100,50.0 M,4.48,0.4,0.9,0.0,GAME SPORTS,667500,88478,43118,20009,55992,False
18,BLACKJACK!,544602,10.0 M,4.55,0.0,0.1,0.0,GAME CASINO,392347,100886,26522,5634,19210,False
65,Wonder Zoo - Animal rescue !,656887,10.0 M,4.29,0.2,0.4,0.0,GAME CASUAL,451989,82929,43740,19634,58593,False
12,Minecraft,3999232,10.0 M,4.54,1.4,2.8,7.49,GAME ARCADE,3214765,312995,138682,70661,262126,True
9,Solitaire,648144,50.0 M,4.23,0.0,0.0,0.0,GAME CARD,1105281,311948,78869,24813,55435,False
33,CarX Drift Racing,1095714,10.0 M,4.49,0.2,0.6,0.0,GAME RACING,854689,96820,44328,21320,78554,False
1,Zynga Poker – Free Texas Holdem Online Card Games,2563915,50.0 M,4.29,0.3,0.7,0.0,GAME CASINO,1814947,300825,110222,50967,286951,False
17,Family Guy The Quest for Stuff,1007655,10.0 M,3.92,0.0,0.0,0.0,GAME ADVENTURE,588610,125854,79653,49039,164496,False
14,Bowmasters,5245027,100.0 M,4.55,2.3,4.5,0.0,GAME ACTION,4170692,464285,216008,93697,300341,False
92,Race the Traffic,292849,50.0 M,4.04,0.1,0.1,0.0,GAME RACING,186128,27123,24989,13711,40895,False
39,Food Quiz,142834,10.0 M,4.16,0.0,0.0,0.0,GAME TRIVIA,92969,17315,10793,5914,15841,False
72,Gummy Drop! Match to restore and build cities,509704,10.0 M,4.27,0.2,0.4,0.0,GAME PUZZLE,336981,78715,33974,15571,44461,False
75,Cartoon Wars,588773,10.0 M,4.03,0.0,0.0,0.0,GAME ARCADE,377160,58374,42190,17641,93406,False
18,Garena Liên Quân Mobile,4443546,50.0 M,4.11,2.1,3.9,0.0,GAME ACTION,3055909,371966,198693,100809,716166,False
64,Wort Guru,212106,5.0 M,4.52,1.2,2.4,0.0,GAME WORD,155455,33940,9062,4036,9611,False
41,FreeCell Solitaire,227750,10.0 M,4.59,0.7,1.5,0.0,GAME CARD,166986,43722,8461,2424,6156,False
27,"Truck games for kids - build a house, car wash",133569,100.0 M,4.09,5.8,11.5,0.0,GAME EDUCATIONAL,90218,10730,7013,5814,19792,False
54,Solitaire,164582,5.0 M,4.63,0.0,0.1,0.0,GAME CARD,121654,32118,6419,1279,3109,False
96,Solitaire Tripeaks: Farm Adventure,94249,1.0 M,4.55,2.1,4.5,0.0,GAME CARD,70322,13475,5430,1726,3294,False
99,Ludo Neo-Classic : King of the Dice Game 2020,92272,10.0 M,4.1,15539.3,0.3,0.0,GAME BOARD,60808,9219,5783,3805,12655,False
94,ملكة الموضة | لعبة قصص و تمثيل,306172,5.0 M,4.69,11.8,29.6,0.0,GAME ROLE PLAYING,266030,14957,7811,3814,13557,False
86,"Colors for Kids, Toddlers, Babies - Learning Game",52947,10.0 M,4.01,5.6,12.3,0.0,GAME EDUCATIONAL,32205,6155,4399,3142,7043,False
47,Save The Girl,928240,100.0 M,3.86,1.5,3.4,0.0,GAME CASUAL,559592,79195,64593,50536,174321,False
60,Tile Craft - Triple Crush: Puzzle matching game,185206,5.0 M,4.48,1.9,3.4,0.0,GAME BOARD,126059,35591,15005,3018,5531,False
48,Scopa - Free Italian Card Game Online,187720,5.0 M,3.92,1.1,2.3,0.0,GAME CARD,115303,19763,10016,6767,35868,False
71,Tebak Lagu Indonesia,56970,1.0 M,4.07,0.0,0.0,0.0,GAME MUSIC,31299,9252,9671,2455,4291,False
36,Archery Master 3D,952511,100.0 M,4.17,0.1,0.3,0.0,GAME SPORTS,628791,108612,73307,34015,107783,False
99,Epic Cards Battle(TCG),90588,1.0 M,4.35,0.0,0.0,0.0,GAME CARD,56325,19524,8896,2109,3731,False
20,Vegas Crime Simulator,1187879,100.0 M,4.17,0.9,1.7,0.0,GAME SIMULATION,838441,84294,59640,42905,162595,False
42,My Boo: Your Virtual Pet Game To Care and Play,1004386,10.0 M,4.54,0.3,0.6,0.0,GAME CASUAL,781989,107458,46194,17055,51687,False
36,"Jawaker Trix, Tarneeb, Baloot, Hand & More",250885,10.0 M,4.6,7.2,14.3,0.0,GAME CARD,213020,11499,6601,3106,16657,False
3,101 Yüzbir Okey Plus,2418516,10.0 M,4.15,0.2,0.5,0.0,GAME BOARD,1761313,126260,77314,40827,412800,False
94,Color Hop 3D - Music Game,40982,10.0 M,4.04,6.9,16.9,0.0,GAME MUSIC,27292,3034,2254,1902,6498,False
95,Baseball Superstars® 2013,270190,5.0 M,4.44,0.0,0.1,0.0,GAME SPORTS,190684,40931,19616,5014,13943,False
93,Beat Shooter,41723,5.0 M,4.37,1.3,3.6,0.0,GAME MUSIC,31522,3064,2036,1107,3993,False
61,Piano Games Mini: Music Instrument & Rhythm,81818,10.0 M,4.3,1.0,2.6,0.0,GAME MUSIC,59728,6698,4096,2492,8801,False
2,Word Cookies!®,2245883,10.0 M,4.57,0.1,0.2,0.0,GAME WORD,1681302,348234,107788,32692,75865,False
93,Evony: The King's Return,293287,10.0 M,4.3,7.9,20.9,0.0,GAME STRATEGY,224580,15144,8986,6725,37850,False
9,8 Ball Pool,2877308,500.0 M,4.46,0.7,0.0,0.0,GAME SPORTS,2120943,387731,130299,54191,184141,False
10,Angry Birds Go!,3871745,100.0 M,4.27,0.0,0.0,0.0,GAME RACING,2754715,362849,225188,101717,427273,False
20,Murder in the Alps,803896,10.0 M,4.21,1.4,3.5,0.0,GAME ADVENTURE,480374,154636,79120,35336,54427,False
24,Guess The Brand - Logo Mania,181368,10.0 M,4.29,0.0,0.0,0.0,GAME TRIVIA,118398,29589,14799,4966,13613,False
22,Bad Piggies,1229277,50.0 M,4.4,0.1,0.3,0.0,GAME PUZZLE,905567,130712,70563,25025,97407,False
19,Megapolis: city building simulator. Urban strategy,1446666,50.0 M,4.39,0.2,0.3,0.0,GAME STRATEGY,1016465,216539,75228,34680,103752,False
66,Girls Hair Salon - Hairstyle makeover kids games,65335,5.0 M,3.78,0.3,0.5,0.0,GAME EDUCATIONAL,35732,7790,5700,3820,12290,False
95,Vegas Friends - Casino Slots for Free,100545,1.0 M,4.62,5.4,18.4,0.0,GAME CASINO,80849,10063,4315,1343,3972,False
26,BEAT MP3 2.0 - Rhythm Game,208037,10.0 M,4.1,0.0,0.1,0.0,GAME MUSIC,125227,30694,21789,7716,22608,False
58,Solitaire,153496,5.0 M,4.68,3.9,6.7,0.0,GAME CARD,120414,24300,4744,1166,2870,False
51,Lapse: A Forgotten Future,556658,10.0 M,4.61,0.6,1.4,0.0,GAME STRATEGY,428268,81138,22108,8124,17018,False
93,Solitaire,98416,10.0 M,4.18,0.5,1.0,0.0,GAME CARD,65524,11878,5610,4452,10950,False
58,Basketball Shoot,560065,10.0 M,4.25,0.0,0.0,0.0,GAME SPORTS,367291,81373,43804,18634,48961,False
93,PBA® Bowling Challenge,274317,10.0 M,4.46,0.3,0.6,0.0,GAME SPORTS,194799,45701,14011,5592,14211,False
86,Car Mechanic Simulator,424968,10.0 M,4.43,2.5,5.6,0.0,GAME SIMULATION,300551,62248,29322,9764,23081,False
4,World Series of Poker WSOP Free Texas Holdem Poker,1395524,50.0 M,4.32,0.7,1.6,0.0,GAME CARD,963845,193536,78854,36877,122410,False
1,Fishdom,4739196,100.0 M,4.39,1.9,3.1,0.0,GAME PUZZLE,3553379,426229,221763,116589,421233,False
30,Pictoword: Fun Word Games & Offline Brain Game,412505,10.0 M,4.18,0.2,0.6,0.0,GAME WORD,263532,59896,32245,15034,41795,False
21,Hooked Inc: Fisher Tycoon,1187376,10.0 M,4.53,1.3,2.5,0.0,GAME SIMULATION,865432,180755,84718,19565,36904,False
8,CodyCross: Crossword Puzzles,966304,50.0 M,4.44,0.9,2.1,0.0,GAME WORD,675125,165913,54134,20912,50217,False
99,زوايا - لعبة ستحرك زوايا عقلك,110293,1.0 M,4.76,0.8,1.9,0.0,GAME WORD,99168,3528,3258,1059,3278,False
66,Creative Destruction,1238814,10.0 M,4.22,0.8,1.7,0.0,GAME ACTION,878737,104960,59904,34640,160571,False
63,Crazy for Speed,463332,10.0 M,4.29,0.3,0.5,0.0,GAME RACING,332451,39863,28721,15304,46991,False
