name,ID,SEX,ALIVE,COMPANY,ALIGN
Janet van Dyne (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Jean Grey (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Good Characters
Timothy Drake (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Dinah Laurel Lance (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Natalia Romanova (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Kurt Wagner (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Flash (Barry Allen),Secret Identity,Male Characters,Living Characters,DC,Good Characters
GenderTest,Secret Identity,Female Characters,Living Characters,DC,Good Characters
Vision (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Alan Scott (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Barbara Gordon (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Jason Garrick (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Lois Lane (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Alfred Pennyworth (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Katherine Pryde (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Jennifer Walters (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Carol Danvers (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Emma Frost (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Frank Castle (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Rogue (Anna Marie) (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Carter Hall (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Pietro Maximoff (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Victor von Doom (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Kyle Rayner (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Max Eisenhardt (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Elizabeth Braddock (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Raymond Palmer (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Norrin Radd (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Norman Osborn (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Eugene Thompson (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Simon Williams (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Alexander Luthor (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Samuel Guthrie (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Roy Harper (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
James Buchanan Barnes (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Remy LeBeau (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Kara Zor-L (Earth-Two),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Daniel Rand (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Nathan Summers (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Garfield Logan (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Guy Gardner (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Richard Jones (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Victor Stone (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Kon-El (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Alexander Summers (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
James Olsen (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Patricia Walker (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
John Stewart (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Human Torch (Android) (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Brian Braddock (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Otto Octavius (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
James Rhodes (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Joker (New Earth),Secret Identity,Male Characters,Living Characters,DC,Bad Characters
Timothy Dugan (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Crystalia Amaquelin (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Samuel Wilson (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Wilson Fisk (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Odin Borson (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Deadpool (Wade Wilson),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Franklin Rock (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Garth (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Dane Whitman (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Jessica Drew (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Roberto da Costa (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Rahne Sinclair (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Elizabeth Ross (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Zatanna Zatara (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Lorna Dane (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Michael Jon Carter (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Johnathon Blaze (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Cassandra Sandsmark (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Kent Nelson (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Red Hulk (Thaddeus Ross),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Harvey Bullock (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Jubilation Lee (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Volstagg (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Balder Odinson (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Rachel Roth (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Helena Bertinelli (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Wesley Dodds (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Galactus (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Uxas (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Bad Characters
Danielle Moonstar (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Marc Spector (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Nathaniel Adam (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Ronald Raymond (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Sabretooth (Victor Creed),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Medusalith Amaquelin (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Illyana Rasputina (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Johann Shmidt (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Fandral (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Red Tornado (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Sean Cassidy (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Thomas Raymond (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Uatu (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Richard Rider (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Raven Darkholme (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Bad Characters
Hogun (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
John Constantine (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Albert Pratt (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Barbara Morse (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Brunnhilde (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Theodore Knight (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Lobo (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Alison Blaire (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
John Walker (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
John Henry Irons (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Jefferson Pierce (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Greer Grant (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Karla Sofen (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
William Baker (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Slade Wilson (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Felicia Hardy (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Bad Characters
Sharon Carter (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Cain Marko (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Monica Rambeau (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Beatriz da Costa (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Heather Douglas (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
William Batson (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
James Proudstar (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Carol Ferris (New Earth),Public Identity,Female Characters,Living Characters,DC,Neutral Characters
Edward Brock (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
MacDonald Gargan (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Tabitha Smith (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Jean-Paul Beaubier (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Etrigan (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Daniel Ketch (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Neena Thurman (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Swamp Thing (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Jennifer-Lynn Hayden (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Renee Montoya (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Harvey Dent (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Courtney Whitmore (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Kendra Saunders (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Good Characters
Kilowog (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Kara Zor-El (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Robert Baldwin (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Jonah Hex (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Vance Astrovik (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Wendell Vaughn (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Rex Tyler (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Pamela Isley (New Earth),Secret Identity,Female Characters,Living Characters,DC,Neutral Characters
Pieter Cross (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Abner Jenkins (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Jonathan L. Thunder (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Elektra Natchios (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Bullseye (Lester) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Forge (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Walter Langkowski (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Gorgon (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
James Madrox (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Heimdall (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Scott Free (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Mari McCabe (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Theresa Cassidy (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Martha Clark (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Laura Kinney (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Arthur Douglas (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Peter Parker (Ben Reilly) (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Boston Brand (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Warlock (Technarch) (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Lockheed (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Melissa Gold (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Leonard Samson (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Kevin Plunder (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Mercedes Knight (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Namorita Prentiss (Earth-616),Public Identity,Female Characters,Deceased Characters,Marvel,Good Characters
Karnak (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
John Zatara (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Lockjaw (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Jonathan Kent (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Heather McNeil (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Tatsu Yamashiro (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Lawrence Trainor (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Curtis Connors (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Theodore Sallis (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Adrian Toomes (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Amora (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Bad Characters
Albert Rothstein (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Eugene Judd (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Mar-Vell (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Brion Markov (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Sanderson Hawkins (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Robert Reynolds (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Meggan Puceanu (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Jonathan Chambers (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Aleksei Sytsevich (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Santo Vaccarro (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Orion (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Thaal Sinestro (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Jonathan Clay (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Sersi (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Guido Carosella (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Ares (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Cassandra Cain (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Jason Todd (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Susan Dearbon (New Earth),Public Identity,Female Characters,Deceased Characters,DC,Good Characters
Jean-Paul Valley (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Zabu (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Julio Richter (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Hippolyta (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Michael Morbius (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Bernhard Baker (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Megan Gwynn (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Joseph Wilson (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Sylvester Pemberton (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Jesse Chambers (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Kyle Richmond (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Floyd Lawton (New Earth),Secret Identity,Male Characters,Living Characters,DC,Neutral Characters
Tyrone Johnson (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Valerie Cooper (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Maxwell Dillon (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Tora Olafsdotter (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Tandy Bowen (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Amanda Waller (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Jonathan Crane (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Shiera Sanders (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Jeb Stuart (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Maxwell Lord IV (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Amara Aquilla (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Damian Wayne (Prime Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Big Barda (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Good Characters
Niles Caulder (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
James Corrigan (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Samuel Bradley (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Richard Tyler (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
James Ewell Brown Stuart (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Julia Carpenter (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Mortimer Toynbee (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Scott Lang (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Todd Rice (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Paige Guthrie (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Yz (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Wolfgang Winks (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Matrix (Pocket Universe),Public Identity,Female Characters,Living Characters,DC,Good Characters
Erik Josten (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Jeanne-Marie Beaubier (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Carl Creel (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Michael Twoyoungmen (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Hope Summers (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
William Glenmorgan (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Eric Masterson (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Stephanie Brown (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Alexander Power (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Matthew Hawk (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
Frederick Dukes (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Eric Brooks (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Eros (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Raymond Terrill (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Adam Blake (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Mandarin (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
The Wizard (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Akihiro (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Sergei Kravinoff (Earth-616),Public Identity,Male Characters,Deceased Characters,Marvel,Bad Characters
Jack Ryder (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Jonothon Starsmore (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Justin Arthur (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Victor Borkowski (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Helmut Zemo (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Bad Characters
Max Mercury (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Abigail Arcane (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Thomas Haukins (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Good Characters
Douglas Ramsey (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Edward Leeds (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Neutral Characters
Travis Morgan (New Earth),Public Identity,Male Characters,Deceased Characters,DC,Good Characters
Waylon Jones (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Quentin Beck (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Bad Characters
Herbert Wyndham (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Neutral Characters
Julian Keller (Earth-616),Public Identity,Male Characters,Living Characters,Marvel,Good Characters
Gorilla Grodd (New Earth),Public Identity,Male Characters,Living Characters,DC,Bad Characters
Jack Russell (Earth-616),Secret Identity,Male Characters,Living Characters,Marvel,Good Characters
Patrick Dugan (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Celeste Cuckoo (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Talia al Ghul (New Earth),Secret Identity,Female Characters,Deceased Characters,DC,Bad Characters
Daniel Cassidy (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
James Harper Clone (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Thomas Kalmaku (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Valentina Allegra de Fontaine (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Neutral Characters
Gabrielle Doe (New Earth),Secret Identity,Female Characters,Living Characters,DC,Good Characters
Henry Hall (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Irma Cuckoo (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Ophelia Sarkissian (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Bad Characters
Colleen Wing (Earth-616),Public Identity,Female Characters,Living Characters,Marvel,Good Characters
Connor Hawke (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
Cyrus Gold (New Earth),Secret Identity,Male Characters,Deceased Characters,DC,Bad Characters
Phoebe Cuckoo (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Edward Nashton (New Earth),Public Identity,Male Characters,Living Characters,DC,Neutral Characters
Arisia Rrab (New Earth),Public Identity,Female Characters,Living Characters,DC,Good Characters
Sage (Earth-616),Secret Identity,Female Characters,Living Characters,Marvel,Good Characters
Robert Crane (New Earth),Secret Identity,Male Characters,Living Characters,DC,Good Characters
William Magnus (New Earth),Public Identity,Male Characters,Living Characters,DC,Good Characters
Hela (Earth-616),Secret Identity,Female Characters,Deceased Characters,Marvel,Bad Characters
Dwayne Taylor (Earth-616),Secret Identity,Male Characters,Deceased Characters,Marvel,Good Characters
